provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zipcode,drg_definition,hospital_referral_region_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,069 - TRANSIENT ISCHEMIA,PA - Erie,13,8123.69,4617.69,3655.23
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,101 - SEIZURES W/O MCC,PA - Erie,11,7823.45,4938.36,3808.91
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,PA - Erie,17,13790.82,8072.88,7273.12
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,PA - Erie,93,13978.65,7398.74,6528.16
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,PA - Erie,16,12470.13,6968.06,6107.31
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,PA - Erie,36,9324.61,5843.83,4943.61
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,PA - Erie,20,7987.3,4739.9,3684.3
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,PA - Erie,24,13962.67,8551.58,7563.25
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,194 - SIMPLE PNEUMONIA & PLEURISY W CC,PA - Erie,42,8765.05,6018.67,5008.1
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,PA - Erie,12,33413.5,14382.58,11295.0
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",PA - Erie,11,20291.09,9537.18,8743.36
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",PA - Erie,17,10790.12,5912.29,5102.18
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,291 - HEART FAILURE & SHOCK W MCC,PA - Erie,53,13899.57,8667.79,7891.57
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,292 - HEART FAILURE & SHOCK W CC,PA - Erie,31,10839.52,6003.52,5200.55
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,293 - HEART FAILURE & SHOCK W/O CC/MCC,PA - Erie,25,8939.88,4511.72,3717.64
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,PA - Erie,17,11696.47,7305.88,6352.71
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,PA - Erie,31,8019.26,5193.48,3964.68
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,PA - Erie,20,5972.25,3852.95,2847.15
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,312 - SYNCOPE & COLLAPSE,PA - Erie,12,6835.17,4751.92,3814.25
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,378 - G.I. HEMORRHAGE W CC,PA - Erie,29,10804.17,6523.21,4979.24
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,390 - G.I. OBSTRUCTION W/O CC/MCC,PA - Erie,15,6897.6,4800.6,2398.53
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",PA - Erie,58,7441.45,4864.47,3871.0
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,PA - Erie,28,33146.46,12792.29,10670.86
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,PA - Erie,20,29008.25,10936.55,9746.15
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,603 - CELLULITIS W/O MCC,PA - Erie,23,8651.22,5342.7,4254.7
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,638 - DIABETES W CC,PA - Erie,11,9486.36,5292.18,4604.91
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",PA - Erie,23,8278.3,4664.91,3747.0
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,682 - RENAL FAILURE W MCC,PA - Erie,14,15250.07,8842.79,7949.07
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,683 - RENAL FAILURE W CC,PA - Erie,34,8785.12,5947.35,5173.0
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,PA - Erie,29,8984.03,4973.0,4113.14
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,PA - Erie,17,18114.35,9043.71,7870.76
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,812 - RED BLOOD CELL DISORDERS W/O MCC,PA - Erie,18,10156.67,5358.39,4043.39
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,PA - Erie,13,39536.69,26784.0,25634.46
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,PA - Erie,168,18850.63,10379.96,9563.65
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,PA - Erie,63,10905.37,6437.03,5506.81
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,"894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA",PA - Erie,14,5722.64,3335.93,2406.29
330239,nonsb,207 FOOTE AVENUE,JAMESTOWN,NY,14701,895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,PA - Erie,15,14911.6,6985.67,6463.6
330009,nonsb,1276 FULTON AVENUE,BRONX,NY,10456,"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY - Bronx,27,109212.19,118529.48,109319.48
330009,nonsb,1276 FULTON AVENUE,BRONX,NY,10456,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY - Bronx,14,32497.07,27461.93,24171.57
330009,nonsb,1276 FULTON AVENUE,BRONX,NY,10456,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NY - Bronx,17,20582.24,18383.41,16248.65
330009,nonsb,1276 FULTON AVENUE,BRONX,NY,10456,069 - TRANSIENT ISCHEMIA,NY - Bronx,13,13036.69,14998.46,13272.92
