provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zipcode,apc,hospital_referral_region,outpatient_services,average_estimated_submitted_charges,average_total_payments
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0019 - Level I Excision/ Biopsy,PA - Erie,14,1106.7935714,332.56
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0020 - Level II Excision/ Biopsy,PA - Erie,34,1259.2091176,724.65794118
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0204 - Level I Nerve Injections,PA - Erie,30,444.41366667,175.57033333
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0207 - Level III Nerve Injections,PA - Erie,196,850.3069898,469.91020408
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0265 - Level I Diagnostic and Screening Ultrasound,PA - Erie,166,264.47686747,78.395542169
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0267 - Level III Diagnostic and Screening Ultrasound,PA - Erie,289,666.75211073,162.32584775
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0269 - Level I Echocardiogram Without Contrast,PA - Erie,439,1553.4626196,365.64781321
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0270 - Level II Echocardiogram Without Contrast,PA - Erie,49,879.16510204,523.58693878
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,PA - Erie,375,772.57554667,249.18661333
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0369 - Level II Pulmonary Tests,PA - Erie,90,627.97911111,204.04977778
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0377 - Level II Cardiac Imaging,PA - Erie,155,3368.0809032,976.93012903
330239,nonsb,207 Foote Avenue,Jamestown,NY,14701,0634 - Hospital Clinic Visits,PA - Erie,1669,145.22443379,84.03234272
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0015 - Level II Debridement & Destruction,NY - Bronx,246,773.34650407,161.22223577
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0204 - Level I Nerve Injections,NY - Bronx,12,563.7,245.14166667
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0231 - Level III Eye Tests & Treatments,NY - Bronx,40,814.439,364.632
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0265 - Level I Diagnostic and Screening Ultrasound,NY - Bronx,22,269.48136364,82.555909091
330009,nonsb,1276 Fulton Avenue,Bronx,NY,10456,0267 - Level III Diagnostic and Screening Ultrasound,NY - Bronx,71,519.37126761,171.2515493
